Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
HYON;NO0011204158;HYON;"Euronext Growth Oslo";NOK;0,60;0,60;0,60;0,60;"21/02/2023 12:53";CET;6000;3600,00
I.CERAM;FR0014005IU4;ALICR;"Euronext Growth Paris";EUR;10,10;10,10;10,10;10,10;"21/02/2023 09:26";CET;10;101,00
I2S;FR0005854700;ALI2S;"Euronext Growth Paris";EUR;6,15;6,15;6,15;6,15;"14/02/2023 11:30";CET;20;123,00
"ICAPE HOLDING";FR001400A3Q3;ALICA;"Euronext Growth Paris";EUR;16,90;16,95;16,90;16,90;"21/02/2023 16:21";CET;110;1861,30
"ICE FISH FARM";NO0010884794;IFISH;"Euronext Growth Oslo";NOK;25,50;25,90;24,50;25,90;"21/02/2023 16:05";CET;855;21582,50
"ICELANDIC SALMON";NO0010724701;ISLAX;"Euronext Growth Oslo";NOK;154,00;154,00;150,00;150,00;"21/02/2023 16:25";CET;27544;4199452,00
IDSUD;FR0000062184;ALIDS;"Euronext Growth Paris";EUR;145,50;145,50;145,50;145,50;"20/02/2023 15:10";CET;5;727,50
IKONISYS;FR00140048X2;ALIKO;"Euronext Growth Paris";EUR;1,85;1,85;1,85;1,85;"21/02/2023 10:22";CET;15;27,75
ILBE;IT0005380602;ALIE;"Euronext Growth Paris";EUR;1,25;1,25;1,25;1,25;"21/02/2023 17:02";CET;17;21,25
IMMERSION;FR0013060100;ALIMR;"Euronext Growth Paris";EUR;3,90;3,90;3,90;3,90;"20/02/2023 16:41";CET;60;234,00
"IMMO BLOCKCHAIN";FR0013266772;ALIMB;"Euronext Growth Paris";EUR;1,31;1,41;1,12;1,34;"21/02/2023 17:35";CET;57419;72800,12
IMPLANET;FR0013470168;ALIMP;"Euronext Growth Paris";EUR;0,185;0,205;0,185;0,191;"21/02/2023 17:28";CET;898113;174992,09
"IMPLANET BS 2023";FR001400COS8;IMPBS;"Euronext Growth Paris";EUR;0,018;0,018;0,018;0,018;"21/02/2023 09:00";CET;500;9,00
INDUCT;NO0010536048;INDCT;"Euronext Growth Oslo";NOK;5,00;5,22;4,99;5,22;"21/02/2023 10:31";CET;11000;55196,53
"INIFY LABORATORIES";SE0017486103;INIFY;"Euronext Growth Oslo";NOK;7,95;8,00;7,95;7,95;"21/02/2023 16:04";CET;5726;45523,45
"ININ GROUP";NO0010864036;ININ;"Euronext Growth Oslo";NOK;2,00;2,29;1,99;2,195;"21/02/2023 16:25";CET;1243480;2722431,04
"INNELEC MULTIMEDIA";FR0000064297;ALINN;"Euronext Growth Paris";EUR;5,58;5,60;5,36;5,44;"21/02/2023 17:29";CET;2037;11077,00
INSTABANK;NO0010762792;INSTA;"Euronext Growth Oslo";NOK;1,78;1,80;1,755;1,78;"21/02/2023 16:25";CET;639974;1150507,45
INSTALLUX;FR0000060451;ALLUX;"Euronext Growth Paris";EUR;340,00;340,00;340,00;340,00;"21/02/2023 11:30";CET;5;1700,00
INTEGRAGEN;FR0010908723;ALINT;"Euronext Growth Paris";EUR;1,305;1,305;1,30;1,30;"21/02/2023 17:35";CET;301;391,31
"INTEGRATED WIND SO";NO0010955883;IWS;"Euronext Growth Oslo";NOK;33,00;33,00;33,00;33,00;"21/02/2023 12:59";CET;40;1320,00
INTRASENSE;FR0011179886;ALINS;"Euronext Growth Paris";EUR;0,4385;0,4385;0,4355;0,437;"21/02/2023 17:35";CET;10969;4779,71
"INVIBES ADVERTSING";BE0974299316;ALINV;"Euronext Growth Paris";EUR;6,44;6,46;6,36;6,46;"21/02/2023 15:59";CET;245;1564,88
ISPD;ES0109429037;ALISP;"Euronext Growth Paris";EUR;3,86;3,88;3,80;3,80;"21/02/2023 09:34";CET;397;1527,96
"IT LINK";FR0000072597;ALITL;"Euronext Growth Paris";EUR;25,40;25,40;25,10;25,10;"21/02/2023 16:22";CET;479;12094,30
KALRAY;FR0010722819;ALKAL;"Euronext Growth Paris";EUR;18,86;18,88;18,42;18,80;"21/02/2023 17:35";CET;7092;132434,44
KERLINK;FR0013156007;ALKLK;"Euronext Growth Paris";EUR;0,929;0,939;0,915;0,939;"21/02/2023 16:24";CET;6901;6385,30
KEYRUS;FR0004029411;ALKEY;"Euronext Growth Paris";EUR;4,61;4,63;4,61;4,63;"21/02/2023 16:13";CET;401;1855,61
"KKO INTERNATIONAL";FR0013374667;ALKKO;"Euronext Growth Paris";EUR;0,1375;0,1375;0,133;0,133;"21/02/2023 13:22";CET;50719;6910,91
KLARSEN;FR0011038348;ALKLA;"Euronext Growth Paris";EUR;1,752;1,78;1,656;1,724;"21/02/2023 17:35";CET;18719;31759,83
KLIMVEST;GB00B19RTX44;ALSIM;"Euronext Growth Paris";EUR;0,484;0,484;0,484;0,484;"28/12/2021 11:30";CET;10785;5219,94
KOMPUESTOS;ES0105425005;ALKOM;"Euronext Growth Paris";EUR;1,01;1,01;1,01;1,01;"20/02/2023 09:00";CET;8;8,08
"KRAFT BANK";NO0010815103;KRAB;"Euronext Growth Oslo";NOK;8,45;8,45;8,45;8,45;"21/02/2023 16:14";CET;600;5070,00
"KUMULUS VAPE";FR0013419876;ALVAP;"Euronext Growth Paris";EUR;10,25;10,30;10,15;10,30;"21/02/2023 14:53";CET;1516;15513,65
KUMULUSBSA2020;FR0014001KF0;VAPBS;"Euronext Growth Paris";EUR;-;-;-;-;-;CET;-;-
"KYOTO GROUP";NO0010936750;KYOTO;"Euronext Growth Oslo";NOK;17,90;17,90;17,45;17,80;"21/02/2023 14:35";CET;17717;311650,50
"LA PERLA FASHION";NL0012191662;ALPER;"Euronext Growth Paris";EUR;7,05;7,05;7,05;7,05;"21/02/2023 09:00";CET;1;7,05
LANSON-BCC;FR0004027068;ALLAN;"Euronext Growth Paris";EUR;32,50;32,50;32,20;32,20;"21/02/2023 17:26";CET;193;6260,60
LARGO;FR0013308582;ALLGO;"Euronext Growth Paris";EUR;1,86;1,88;1,844;1,846;"21/02/2023 17:35";CET;713;1322,01
"LEA BANK";NO0010167331;LEA;"Euronext Growth Oslo";NOK;9,50;9,80;9,30;9,70;"21/02/2023 16:25";CET;11363;107179,50
LEBON;FR0000121295;ALBON;"Euronext Growth Paris";EUR;97,00;98,00;95,40;98,00;"21/02/2023 17:29";CET;171;16611,00
LEPERMISLIBRE;FR001400F2Z1;ALLPL;"Euronext Growth Paris";EUR;3,7895;3,7895;3,71;3,7105;"21/02/2023 16:53";CET;4176;15710,44
"LES HOTELS BAVEREZ";FR0007080254;ALLHB;"Euronext Growth Paris";EUR;57,50;57,50;57,50;57,50;"21/02/2023 11:30";CET;88;5060,00
"LEXIBOOK LINGUIST.";FR0000033599;ALLEX;"Euronext Growth Paris";EUR;2,54;2,58;2,47;2,54;"21/02/2023 17:01";CET;8625;21622,06
LIFECARE;NO0010591191;LIFE;"Euronext Growth Oslo";NOK;2,735;2,735;2,495;2,545;"21/02/2023 16:25";CET;163994;412175,84
"LLAMA GROUP";BE0974334667;ALLAM;"Euronext Growth Paris, Brussels";EUR;1,685;2,09;1,63;2,09;"21/02/2023 17:37";CET;626033;1163859,45
LLEIDA;ES0105089009;ALLLN;"Euronext Growth Paris";EUR;2,55;2,55;2,55;2,55;"21/02/2023 09:00";CET;1;2,55
"LOGIC INSTRUMENT";FR0000044943;ALLOG;"Euronext Growth Paris";EUR;0,335;0,335;0,311;0,332;"21/02/2023 16:36";CET;6122;1914,19
LUCIBEL;FR0011884378;ALUCI;"Euronext Growth Paris";EUR;0,96;0,96;0,914;0,934;"21/02/2023 17:35";CET;28032;25984,93
"LUMI GRUPPEN";NO0010927288;LUMI;"Euronext Growth Oslo";NOK;11,60;11,70;11,55;11,55;"21/02/2023 16:25";CET;603611;7016915,65
"LYTIX BIOPHARMA";NO0010405780;LYTIX;"Euronext Growth Oslo";NOK;7,60;8,00;7,34;7,52;"21/02/2023 12:45";CET;9109;69859,76
"M VEST WATER";NO0010976343;MVW;"Euronext Growth Oslo";NOK;9,41;9,50;9,25;9,48;"21/02/2023 16:02";CET;12443;117881,43
M2I;FR0013270626;ALMII;"Euronext Growth Paris";EUR;3,99;4,00;3,92;3,92;"21/02/2023 12:26";CET;696;2738,39
"MAKHEIA GROUP";FR0000072993;ALMAK;"Euronext Growth Paris";EUR;0,114;0,1144;0,11;0,11;"21/02/2023 16:49";CET;49224;5464,53
"MAKING SCIENCE";ES0105463006;ALMKS;"Euronext Growth Paris";EUR;12,75;12,75;12,75;12,75;"21/02/2023 11:30";CET;110;1402,50
